data_id,file_name,data_type,pair,broker_symbol,timeframe,year,start_date,end_date,source,format,status,notes
RAW_GBPUSD_H1_2020,GBPUSD_H1_2020_RAW.csv,ohlcv,GBPUSD,GBPUSD,H1,2020,2020-01-01,2020-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_GBPUSD_H1_2021,GBPUSD_H1_2021_RAW.csv,ohlcv,GBPUSD,GBPUSD,H1,2021,2021-01-01,2021-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_GBPUSD_H1_2022,GBPUSD_H1_2022_RAW.csv,ohlcv,GBPUSD,GBPUSD,H1,2022,2022-01-01,2022-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_GBPUSD_H1_2023,GBPUSD_H1_2023_RAW.csv,ohlcv,GBPUSD,GBPUSD,H1,2023,2023-01-01,2023-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_GBPUSD_H1_2024,GBPUSD_H1_2024_RAW.csv,ohlcv,GBPUSD,GBPUSD,H1,2024,2024-01-01,2024-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_GBPUSD_H1_2025,GBPUSD_H1_2025_RAW.csv,ohlcv,GBPUSD,GBPUSD,H1,2025,2025-01-01,2025-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_GBPUSD_H4_2020,GBPUSD_H4_2020_RAW.csv,ohlcv,GBPUSD,GBPUSD,H4,2020,2020-01-01,2020-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_GBPUSD_H4_2021,GBPUSD_H4_2021_RAW.csv,ohlcv,GBPUSD,GBPUSD,H4,2021,2021-01-01,2021-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_GBPUSD_H4_2022,GBPUSD_H4_2022_RAW.csv,ohlcv,GBPUSD,GBPUSD,H4,2022,2022-01-01,2022-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_GBPUSD_H4_2023,GBPUSD_H4_2023_RAW.csv,ohlcv,GBPUSD,GBPUSD,H4,2023,2023-01-01,2023-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_GBPUSD_H4_2024,GBPUSD_H4_2024_RAW.csv,ohlcv,GBPUSD,GBPUSD,H4,2024,2024-01-01,2024-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_GBPUSD_H4_2025,GBPUSD_H4_2025_RAW.csv,ohlcv,GBPUSD,GBPUSD,H4,2025,2025-01-01,2025-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_GBPUSD_M15_2020,GBPUSD_M15_2020_RAW.csv,ohlcv,GBPUSD,GBPUSD,M15,2020,2020-01-01,2020-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_GBPUSD_M15_2021,GBPUSD_M15_2021_RAW.csv,ohlcv,GBPUSD,GBPUSD,M15,2021,2021-01-01,2021-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_GBPUSD_M15_2022,GBPUSD_M15_2022_RAW.csv,ohlcv,GBPUSD,GBPUSD,M15,2022,2022-01-01,2022-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_GBPUSD_M15_2023,GBPUSD_M15_2023_RAW.csv,ohlcv,GBPUSD,GBPUSD,M15,2023,2023-01-01,2023-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_GBPUSD_M15_2024,GBPUSD_M15_2024_RAW.csv,ohlcv,GBPUSD,GBPUSD,M15,2024,2024-01-01,2024-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_GBPUSD_M15_2025,GBPUSD_M15_2025_RAW.csv,ohlcv,GBPUSD,GBPUSD,M15,2025,2025-01-01,2025-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_GBPUSD_M5_2020,GBPUSD_M5_2020_RAW.csv,ohlcv,GBPUSD,GBPUSD,M5,2020,2020-01-01,2020-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_GBPUSD_M5_2021,GBPUSD_M5_2021_RAW.csv,ohlcv,GBPUSD,GBPUSD,M5,2021,2021-01-01,2021-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_GBPUSD_M5_2022,GBPUSD_M5_2022_RAW.csv,ohlcv,GBPUSD,GBPUSD,M5,2022,2022-01-01,2022-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_GBPUSD_M5_2023,GBPUSD_M5_2023_RAW.csv,ohlcv,GBPUSD,GBPUSD,M5,2023,2023-01-01,2023-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_GBPUSD_M5_2024,GBPUSD_M5_2024_RAW.csv,ohlcv,GBPUSD,GBPUSD,M5,2024,2024-01-01,2024-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_GBPUSD_M5_2025,GBPUSD_M5_2025_RAW.csv,ohlcv,GBPUSD,GBPUSD,M5,2025,2025-01-01,2025-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_XAUUSD_H1_2020,XAUUSD_H1_2020_RAW.csv,ohlcv,XAUUSD,XAUUSD,H1,2020,2020-01-01,2020-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_XAUUSD_H1_2021,XAUUSD_H1_2021_RAW.csv,ohlcv,XAUUSD,XAUUSD,H1,2021,2021-01-01,2021-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_XAUUSD_H1_2022,XAUUSD_H1_2022_RAW.csv,ohlcv,XAUUSD,XAUUSD,H1,2022,2022-01-01,2022-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_XAUUSD_H1_2023,XAUUSD_H1_2023_RAW.csv,ohlcv,XAUUSD,XAUUSD,H1,2023,2023-01-01,2023-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_XAUUSD_H1_2024,XAUUSD_H1_2024_RAW.csv,ohlcv,XAUUSD,XAUUSD,H1,2024,2024-01-01,2024-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_XAUUSD_H1_2025,XAUUSD_H1_2025_RAW.csv,ohlcv,XAUUSD,XAUUSD,H1,2025,2025-01-01,2025-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_XAUUSD_H4_2020,XAUUSD_H4_2020_RAW.csv,ohlcv,XAUUSD,XAUUSD,H4,2020,2020-01-01,2020-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_XAUUSD_H4_2021,XAUUSD_H4_2021_RAW.csv,ohlcv,XAUUSD,XAUUSD,H4,2021,2021-01-01,2021-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_XAUUSD_H4_2022,XAUUSD_H4_2022_RAW.csv,ohlcv,XAUUSD,XAUUSD,H4,2022,2022-01-01,2022-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_XAUUSD_H4_2023,XAUUSD_H4_2023_RAW.csv,ohlcv,XAUUSD,XAUUSD,H4,2023,2023-01-01,2023-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_XAUUSD_H4_2024,XAUUSD_H4_2024_RAW.csv,ohlcv,XAUUSD,XAUUSD,H4,2024,2024-01-01,2024-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_XAUUSD_H4_2025,XAUUSD_H4_2025_RAW.csv,ohlcv,XAUUSD,XAUUSD,H4,2025,2025-01-01,2025-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_XAUUSD_M15_2020,XAUUSD_M15_2020_RAW.csv,ohlcv,XAUUSD,XAUUSD,M15,2020,2020-01-01,2020-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_XAUUSD_M15_2021,XAUUSD_M15_2021_RAW.csv,ohlcv,XAUUSD,XAUUSD,M15,2021,2021-01-01,2021-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_XAUUSD_M15_2022,XAUUSD_M15_2022_RAW.csv,ohlcv,XAUUSD,XAUUSD,M15,2022,2022-01-01,2022-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_XAUUSD_M15_2023,XAUUSD_M15_2023_RAW.csv,ohlcv,XAUUSD,XAUUSD,M15,2023,2023-01-01,2023-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_XAUUSD_M15_2024,XAUUSD_M15_2024_RAW.csv,ohlcv,XAUUSD,XAUUSD,M15,2024,2024-01-01,2024-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_XAUUSD_M15_2025,XAUUSD_M15_2025_RAW.csv,ohlcv,XAUUSD,XAUUSD,M15,2025,2025-01-01,2025-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_XAUUSD_M5_2020,XAUUSD_M5_2020_RAW.csv,ohlcv,XAUUSD,XAUUSD,M5,2020,2020-01-01,2020-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_XAUUSD_M5_2021,XAUUSD_M5_2021_RAW.csv,ohlcv,XAUUSD,XAUUSD,M5,2021,2021-01-01,2021-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_XAUUSD_M5_2022,XAUUSD_M5_2022_RAW.csv,ohlcv,XAUUSD,XAUUSD,M5,2022,2022-01-01,2022-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_XAUUSD_M5_2023,XAUUSD_M5_2023_RAW.csv,ohlcv,XAUUSD,XAUUSD,M5,2023,2023-01-01,2023-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_XAUUSD_M5_2024,XAUUSD_M5_2024_RAW.csv,ohlcv,XAUUSD,XAUUSD,M5,2024,2024-01-01,2024-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
RAW_XAUUSD_M5_2025,XAUUSD_M5_2025_RAW.csv,ohlcv,XAUUSD,XAUUSD,M5,2025,2025-01-01,2025-12-31,broker_mt5_valetax,csv,raw,Historical OHLCV exported from Valetax MT5
