rank_v3,file,pair,timeframe,year,direction,ohlcv_direction_v2,direction_match_v2,quality,quality_v3,decision_v3,score,final_score_v3,confidence_score_v3,spatial_score_v3,ohlcv_score_v3,structure_score_v3,alignment_score_v3,ob_conf,fvg_conf,x_distance,y_distance,local_structure_score,impulse_body_ratio_v2,distance_from_prediction,matched_ob_idx,matched_impulse_idx,matched_fvg_idx,start_datetime,end_datetime,clean_image_path,rank,ob_x,ob_y,ob_w,ob_h,fvg_x,fvg_y,fvg_w,fvg_h,image_id,preview_image_path,label_path,ob_count,fvg_count,object_count,status,ohlcv_status,window_candles,approx_ob_idx,ob_candle_direction_v2,impulse_candle_direction_v2,gap_size_v2,cnn_label,cnn_confidence,prob_bearish,prob_bullish,prob_sideways,setup_direction_v4,cnn_alignment,cnn_context_score,base_score_v3,final_score_v4,quality_v4,decision_v4,cnn_missing,direction_conflict,ohlcv_path_v5,liquidity_present_v5,liquidity_confirmed_v5,liquidity_score_v5,sweep_distance_v5,penetration_atr_v5,confirmation_type_v5,bos_present_v5,choch_present_v5,structure_alignment_v5,market_structure_score_v5,zone_status_v5,zone_fresh_v5,zone_mitigated_v5,zone_touch_count_v5,zone_score_v5,zone_low_v5,zone_high_v5,market_context_score_v5,structure_error_v5
1,gbpusd_m5_2025_20250103_010000_0004.txt,GBPUSD,M5,2025,bullish_candidate,bullish_candidate,True,LOW,HIGH,ACCEPT,0.5986121249999999,0.8314399125,0.4366295,0.8818789166666668,1.0,0.9073287,0.85,0.534001,0.339258,0.007715,0.0654269999999999,0.900853,0.919355,2.0,75.0,76.0,77.0,2025-01-03 01:00:00,2025-01-03 09:15:00,ai/datasets/annotation/auto_labels_v5_medium/images/clean/gbpusd_m5_2025_20250103_010000_0004.png,1,0.735908,0.556715,0.0247095,0.0737545,0.743623,0.491288,0.0454373,0.0593914,gbpusd_m5_2025_20250103_010000_0004,ai/datasets/annotation/auto_labels_v5_medium/images/preview/gbpusd_m5_2025_20250103_010000_0004.png,ai/datasets/annotation/auto_labels_v5_medium/labels/yolo/gbpusd_m5_2025_20250103_010000_0004.txt,1,1,2,auto_labeled_v5_paired_ob_fvg,ok,100,73,bearish,bullish,0.00024,bullish,0.6491527557373047,0.0311880409717559,0.6491527557373047,0.3196592926979065,bullish,1.0,0.8245763778686523,0.8314399125,0.8300672055737306,HIGH,ACCEPT,False,False,ai\datasets\raw\ohlcv\GBPUSD\M5\2025\GBPUSD_M5_2025_RAW.csv,False,False,0.0,,0.0,,True,True,True,1.0,partially_mitigated,False,True,1,0.65,1.23853,1.23882,0.5125,
2,xauusd_m5_2025_20250108_010000_0012.txt,XAUUSD,M5,2025,bullish_candidate,bullish_candidate,True,LOW,HIGH,ACCEPT,0.6484352749999999,0.8133542874999999,0.528929,0.8717487500000005,1.0,0.7672247,0.85,0.527558,0.5303,0.0087369999999999,0.069365,0.715144,0.863946,2.0,70.0,71.0,72.0,2025-01-08 01:00:00,2025-01-08 09:15:00,ai/datasets/annotation/auto_labels_v5_medium/images/clean/xauusd_m5_2025_20250108_010000_0012.png,1,0.691632,0.84961,0.0224898,0.0950043,0.700369,0.780245,0.0387594,0.0486176,xauusd_m5_2025_20250108_010000_0012,ai/datasets/annotation/auto_labels_v5_medium/images/preview/xauusd_m5_2025_20250108_010000_0012.png,ai/datasets/annotation/auto_labels_v5_medium/labels/yolo/xauusd_m5_2025_20250108_010000_0012.txt,1,1,2,auto_labeled_v5_paired_ob_fvg,ok,100,68,bearish,bullish,0.55,sideways,0.5043633580207825,0.0401142798364162,0.4555224180221557,0.5043633580207825,bullish,0.55,0.4136999234557152,0.8133542874999999,0.733423414691143,MEDIUM,REVIEW,False,False,ai\datasets\raw\ohlcv\XAUUSD\M5\2025\XAUUSD_M5_2025_RAW.csv,True,False,0.65,28.0,0.35981308411257784,,False,True,True,0.75,fresh,True,False,0,1.0,2645.16,2646.21,0.7725,
3,xauusd_m15_2025_20250124_101500_0016.txt,XAUUSD,M15,2025,bullish_candidate,bullish_candidate,True,MEDIUM,HIGH,ACCEPT,0.6653344749999998,0.7975793874999999,0.5454105,0.8863114166666668,1.0,0.7622023,0.65,0.427733,0.663088,0.010149,0.050327,0.69242,0.891798,4.0,90.0,91.0,92.0,2025-01-24 10:15:00,2025-01-27 12:00:00,ai/datasets/annotation/auto_labels_v5_medium/images/clean/xauusd_m15_2025_20250124_101500_0016.png,1,0.868709,0.824854,0.024449,0.063681,0.878858,0.774527,0.0425571,0.0393984,xauusd_m15_2025_20250124_101500_0016,ai/datasets/annotation/auto_labels_v5_medium/images/preview/xauusd_m15_2025_20250124_101500_0016.png,ai/datasets/annotation/auto_labels_v5_medium/labels/yolo/xauusd_m15_2025_20250124_101500_0016.txt,1,1,2,auto_labeled_v5_paired_ob_fvg,ok,100,86,bearish,bullish,1.83,bearish,0.4399957954883575,0.4399957954883575,0.2047892212867736,0.3552150130271911,bullish,0.0,0.0,0.7975793874999999,0.63806351,MEDIUM,REVIEW,False,True,ai\datasets\raw\ohlcv\XAUUSD\M15\2025\XAUUSD_M15_2025_RAW.csv,True,False,0.65,29.0,0.3523415100352259,,True,True,True,1.0,mitigated,False,True,4,0.25,2749.25,2752.22,0.6725,
4,gbpusd_m15_2025_20250128_220000_0019.txt,GBPUSD,M15,2025,bearish_candidate,bearish_candidate,True,LOW,HIGH,ACCEPT,0.6263917499999999,0.7932062,0.491435,0.87263,1.0,0.6560988000000001,1.0,0.389429,0.593441,0.008738,0.068605,0.6097,0.742268,0.0,54.0,55.0,56.0,2025-01-28 22:00:00,2025-01-29 22:45:00,ai/datasets/annotation/auto_labels_v5_medium/images/clean/gbpusd_m15_2025_20250128_220000_0019.png,1,0.548182,0.442843,0.02355,0.0792967,0.55692,0.511448,0.0445353,0.0551575,gbpusd_m15_2025_20250128_220000_0019,ai/datasets/annotation/auto_labels_v5_medium/images/preview/gbpusd_m15_2025_20250128_220000_0019.png,ai/datasets/annotation/auto_labels_v5_medium/labels/yolo/gbpusd_m15_2025_20250128_220000_0019.txt,2,2,4,auto_labeled_v5_paired_ob_fvg,ok,100,54,bullish,bearish,0.00051,sideways,0.7480952739715576,0.1054405644536018,0.1464641690254211,0.7480952739715576,bearish,0.55,0.4807262003421784,0.7932062,0.7307102000684358,MEDIUM,REVIEW,False,False,ai\datasets\raw\ohlcv\GBPUSD\M15\2025\GBPUSD_M15_2025_RAW.csv,True,False,0.65,30.0,0.12945838837520202,,True,True,True,1.0,mitigated,False,True,13,0.25,1.24283,1.24354,0.6725,
5,xauusd_h4_2025_20250825_160000_0011.txt,XAUUSD,H4,2025,bullish_candidate,bullish_candidate,True,LOW,MEDIUM,REVIEW,0.57424215,0.7922811875000001,0.373889,0.908998333333334,1.0,0.72461455,1.0,0.307176,0.440602,0.0096979999999999,0.0329749999999999,0.662758,0.839491,0.0,52.0,53.0,54.0,2025-08-25 16:00:00,2025-09-17 04:00:00,ai/datasets/annotation/auto_labels_v5_medium/images/clean/xauusd_h4_2025_20250825_160000_0011.png,1,0.529907,0.433143,0.0243999,0.0357773,0.539605,0.400168,0.0427102,0.0280563,xauusd_h4_2025_20250825_160000_0011,ai/datasets/annotation/auto_labels_v5_medium/images/preview/xauusd_h4_2025_20250825_160000_0011.png,ai/datasets/annotation/auto_labels_v5_medium/labels/yolo/xauusd_h4_2025_20250825_160000_0011.txt,2,2,4,auto_labeled_v5_paired_ob_fvg,ok,100,52,bearish,bullish,12.12,bullish,0.8569502830505371,0.0219983998686075,0.8569502830505371,0.1210513561964035,bullish,1.0,0.9284751415252686,0.7922811875000001,0.8195199783050539,HIGH,ACCEPT,False,False,ai\datasets\raw\ohlcv\XAUUSD\H4\2025\XAUUSD_H4_2025_RAW.csv,False,False,0.0,,0.0,,True,False,True,0.7,fresh,True,False,0,1.0,3544.78,3561.05,0.495,
6,xauusd_h1_2025_20250213_130000_0008.txt,XAUUSD,H1,2025,bullish_candidate,bullish_candidate,True,LOW,MEDIUM,REVIEW,0.5670114000000003,0.7914467500000001,0.383455,0.8828955000000007,1.0,0.7292856999999999,1.0,0.412117,0.354793,0.0083599999999999,0.0615609999999999,0.71427,0.757172,0.0,57.0,58.0,59.0,2025-02-13 13:00:00,2025-02-19 22:00:00,ai/datasets/annotation/auto_labels_v5_medium/images/clean/xauusd_h1_2025_20250213_130000_0008.png,1,0.575215,0.677638,0.0219141,0.0919189,0.583575,0.616077,0.0389894,0.0341774,xauusd_h1_2025_20250213_130000_0008,ai/datasets/annotation/auto_labels_v5_medium/images/preview/xauusd_h1_2025_20250213_130000_0008.png,ai/datasets/annotation/auto_labels_v5_medium/labels/yolo/xauusd_h1_2025_20250213_130000_0008.txt,1,1,2,auto_labeled_v5_paired_ob_fvg,ok,100,57,bearish,bullish,2.92,sideways,0.5104362964630127,0.1221499517560005,0.3674137890338897,0.5104362964630127,bullish,0.55,0.4153699815273285,0.7914467500000001,0.7162313963054658,MEDIUM,REVIEW,False,False,ai\datasets\raw\ohlcv\XAUUSD\H1\2025\XAUUSD_H1_2025_RAW.csv,False,False,0.0,,0.0,,True,True,True,1.0,fresh,True,False,0,1.0,2891.93,2899.81,0.6,
7,gbpusd_h1_2025_20250319_150000_0014.txt,GBPUSD,H1,2025,bullish_candidate,bullish_candidate,True,MEDIUM,HIGH,ACCEPT,0.6569345,0.7911356875000001,0.5558025,0.8563308333333334,1.0,0.84610225,0.4,0.475853,0.635752,0.00784,0.086745,0.820729,0.893224,6.0,4.0,5.0,6.0,2025-03-19 15:00:00,2025-03-25 19:00:00,ai/datasets/annotation/auto_labels_v5_medium/images/clean/gbpusd_h1_2025_20250319_150000_0014.png,1,0.103246,0.406191,0.0226687,0.127665,0.111086,0.319446,0.0405079,0.0481203,gbpusd_h1_2025_20250319_150000_0014,ai/datasets/annotation/auto_labels_v5_medium/images/preview/gbpusd_h1_2025_20250319_150000_0014.png,ai/datasets/annotation/auto_labels_v5_medium/labels/yolo/gbpusd_h1_2025_20250319_150000_0014.txt,2,2,4,auto_labeled_v5_paired_ob_fvg,ok,100,10,bearish,bullish,0.00076,sideways,0.7733291387557983,0.1569591760635376,0.0697117298841476,0.7733291387557983,bullish,0.55,0.4876655131578445,0.7911356875000001,0.730441652631569,MEDIUM,REVIEW,False,False,ai\datasets\raw\ohlcv\GBPUSD\H1\2025\GBPUSD_H1_2025_RAW.csv,False,False,0.0,,0.0,,False,True,True,0.75,mitigated,False,True,31,0.25,1.2955,1.29738,0.32499999999999996,
8,gbpusd_h4_2025_20250522_000000_0007.txt,GBPUSD,H4,2025,bearish_candidate,bearish_candidate,True,LOW,HIGH,ACCEPT,0.6491323000000001,0.7900547874999999,0.54572,0.8542660000000007,1.0,0.7510835499999999,0.65,0.315633,0.775807,0.0098759999999999,0.0790619999999999,0.699699,0.846512,4.0,21.0,22.0,23.0,2025-05-22 00:00:00,2025-06-13 12:00:00,ai/datasets/annotation/auto_labels_v5_medium/images/clean/gbpusd_h4_2025_20250522_000000_0007.png,1,0.254837,0.371057,0.0252863,0.0989759,0.264713,0.450119,0.0424312,0.0610191,gbpusd_h4_2025_20250522_000000_0007,ai/datasets/annotation/auto_labels_v5_medium/images/preview/gbpusd_h4_2025_20250522_000000_0007.png,ai/datasets/annotation/auto_labels_v5_medium/labels/yolo/gbpusd_h4_2025_20250522_000000_0007.txt,1,1,2,auto_labeled_v5_paired_ob_fvg,ok,100,25,bullish,bearish,0.00185,sideways,0.8382648229598999,0.0462357178330421,0.1154994666576385,0.8382648229598999,bearish,0.55,0.5055228263139725,0.7900547874999999,0.7331483952627945,MEDIUM,REVIEW,False,False,ai\datasets\raw\ohlcv\GBPUSD\H4\2025\GBPUSD_H4_2025_RAW.csv,False,False,0.0,,0.0,,False,False,False,0.0,mitigated,False,True,51,0.25,1.35329,1.35616,0.0625,
9,gbpusd_h4_2025_20250613_160000_0008.txt,GBPUSD,H4,2025,bullish_candidate,bullish_candidate,True,LOW,HIGH,ACCEPT,0.6258079749999998,0.7895681374999999,0.4592575,0.9081849166666668,1.0,0.7059556,0.85,0.45589,0.462625,0.007449,0.0441139999999999,0.608664,0.88664,1.0,47.0,48.0,49.0,2025-06-13 16:00:00,2025-07-08 04:00:00,ai/datasets/annotation/auto_labels_v5_medium/images/clean/gbpusd_h4_2025_20250613_160000_0008.png,1,0.486409,0.439118,0.0231907,0.0627327,0.493858,0.395004,0.0434107,0.0270685,gbpusd_h4_2025_20250613_160000_0008,ai/datasets/annotation/auto_labels_v5_medium/images/preview/gbpusd_h4_2025_20250613_160000_0008.png,ai/datasets/annotation/auto_labels_v5_medium/labels/yolo/gbpusd_h4_2025_20250613_160000_0008.txt,0,0,0,auto_labeled_v5_paired_ob_fvg,ok,100,48,bearish,bullish,0.00146,sideways,0.4832955598831177,0.0470131896436214,0.4696912765502929,0.4832955598831177,bullish,0.55,0.4079062789678574,0.7895681374999999,0.7132357657935714,MEDIUM,REVIEW,False,False,ai\datasets\raw\ohlcv\GBPUSD\H4\2025\GBPUSD_H4_2025_RAW.csv,False,False,0.0,,0.0,,True,False,True,0.7,mitigated,False,True,24,0.25,1.35898,1.36212,0.3075,
10,gbpusd_h1_2025_20250401_010000_0016.txt,GBPUSD,H1,2025,bearish_candidate,bearish_candidate,True,LOW,HIGH,ACCEPT,0.5895508999999997,0.7889371875,0.4175175,0.8871779999999996,1.0,0.7494279500000001,0.85,0.357297,0.477738,0.0086560000000001,0.0565159999999999,0.665303,0.90566,1.0,64.0,65.0,66.0,2025-04-01 01:00:00,2025-04-07 05:00:00,ai/datasets/annotation/auto_labels_v5_medium/images/clean/gbpusd_h1_2025_20250401_010000_0016.png,1,0.637739,0.181985,0.0238356,0.0603538,0.646395,0.238501,0.0432819,0.0508708,gbpusd_h1_2025_20250401_010000_0016,ai/datasets/annotation/auto_labels_v5_medium/images/preview/gbpusd_h1_2025_20250401_010000_0016.png,ai/datasets/annotation/auto_labels_v5_medium/labels/yolo/gbpusd_h1_2025_20250401_010000_0016.txt,2,2,4,auto_labeled_v5_paired_ob_fvg,ok,100,63,bullish,bearish,0.00255,bearish,0.4830783903598785,0.4830783903598785,0.0896352529525756,0.4272864460945129,bearish,1.0,0.7415391951799393,0.7889371875,0.7794575890359879,HIGH,ACCEPT,False,False,ai\datasets\raw\ohlcv\GBPUSD\H1\2025\GBPUSD_H1_2025_RAW.csv,False,False,0.0,,0.0,,False,True,True,0.75,fresh,True,False,0,1.0,1.31461,1.31742,0.5125,
11,gbpusd_m15_2025_20250109_060000_0006.txt,GBPUSD,M15,2025,bullish_candidate,bullish_candidate,True,MEDIUM,HIGH,ACCEPT,0.6702866,0.7880882,0.5622335,0.8757166666666667,1.0,0.717136,0.65,0.660401,0.464066,0.009244,0.06361,0.608923,0.918103,3.0,34.0,35.0,36.0,2025-01-09 06:00:00,2025-01-10 06:45:00,ai/datasets/annotation/auto_labels_v5_medium/images/clean/gbpusd_m15_2025_20250109_060000_0006.png,1,0.370463,0.609337,0.0229695,0.0821449,0.379707,0.545727,0.0398074,0.0455317,gbpusd_m15_2025_20250109_060000_0006,ai/datasets/annotation/auto_labels_v5_medium/images/preview/gbpusd_m15_2025_20250109_060000_0006.png,ai/datasets/annotation/auto_labels_v5_medium/labels/yolo/gbpusd_m15_2025_20250109_060000_0006.txt,1,1,2,auto_labeled_v5_paired_ob_fvg,ok,100,37,bearish,bullish,0.0006,sideways,0.5597713589668274,0.3807421326637268,0.0594865158200264,0.5597713589668274,bullish,0.55,0.4289371237158775,0.7880882,0.7162579847431756,MEDIUM,REVIEW,False,False,ai\datasets\raw\ohlcv\GBPUSD\M15\2025\GBPUSD_M15_2025_RAW.csv,False,False,0.0,,0.0,,False,True,True,0.75,mitigated,False,True,6,0.25,1.22697,1.22809,0.32499999999999996,
